title,title_id,imdb_id,content_rating,release_date,Action_Adventure,Animation,Comedy,SciFi_Fantasy,Drama,Family,Mystery_Crime,Bio_History,Horror_Thriller,Romance
Five Nights at Freddys,1206,tt34183267,,2023-10-27,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Fingernails,1205,tt13968674,R,2023-10-27,0.0,0,0,1.0,1,0,0.0,0.0,0.0,1
Killers of the Flower Moon,1204,tt5537002,R,2023-10-20,0.0,0,0,0.0,1,0,1.0,1.0,0.0,0
NYAD,1203,tt5302918,PG-13,2023-10-20,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
Pain Hustlers,1202,tt15257160,R,2023-10-20,0.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Anatomy of a Fall,1201,tt17009710,R,2023-10-13,0.0,0,0,0.0,1,0,1.0,0.0,1.0,0
Thank You For Coming,1200,tt23036080,,2023-10-06,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Foe,1199,tt8258502,R,2023-10-06,0.0,0,0,1.0,1,0,0.0,0.0,0.0,1
The Royal Hotel,1198,tt18363072,R,2023-10-06,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
When Evil Lurks,1197,tt16300962,Not Rated,2023-10-06,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Dicks: The Musical,1196,tt7130916,R,2023-10-06,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0
The Creator,1195,tt11858890,PG-13,2023-09-29,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
